species,leaf.sp,temperature,shredding.days,fpom,amp.weight,dead.day
DH,Oak,8,9,-1.285,64.4,10
DH,Sycamore,20,14,13.715,52.5,15
DH,Sycamore,8,14,6.715,80.5,15
DH,Oak,20,14,2.715,42.6,15
DH,Alder,20,14,33.715,69.6,15
DH,Sycamore,8,14,7.715,60.3,15
DH,Alder,20,14,22.715,33.9,15
DH,Alder,20,14,32.715,41.6,15
DH,Alder,20,14,32.715,61.3,15
DH,Alder,20,14,26.715,80.8,15
DH,Alder,8,9,0.715,41.9,10
DH,Alder,8,14,9.715,38.8,15
DH,Sycamore,20,14,12.715,64,15
DH,Alder,8,14,9.715,54.5,15
DH,Oak,20,14,1.715,53.8,15
DH,Oak,20,1,-0.285,55.2,2
DH,Alder,8,6,1.715,58.3,7
DH,Oak,8,14,-2.285,93.5,15
DH,Oak,20,11,-4.285,45,12
DH,Alder,8,14,5.715,52,15
DH,Sycamore,20,1,-0.285,62.1,2
DH,Oak,8,14,1.715,71.7,15
DH,Oak,8,14,-1.285,34.3,15
DH,Sycamore,20,14,13.715,45.8,15
DH,Oak,8,14,4.715,41,15
DH,Sycamore,20,14,13.715,38,15
DH,Oak,8,14,-2.285,51,15
DH,Oak,20,13,2.715,82,14
DH,Oak,8,4,1.715,61.7,5
DH,Alder,8,7,-1.285,26.1,8
DH,Oak,20,11,-0.285,77.3,12
DH,Oak,20,6,0.715,86.2,7
DH,Alder,8,14,4.715,47.1,15
DH,Alder,8,5,4.715,61.7,6
DH,Oak,20,11,-0.285,38.5,12
DH,Alder,8,14,4.715,46.2,15
DH,Alder,20,14,16.715,41.5,15
DH,Oak,8,14,0.715,69.6,15
DH,Alder,8,14,18.715,62.1,15
DH,Alder,20,14,32.715,74.4,15
DH,Oak,20,14,4.715,71.7,15
DH,Alder,20,14,31.715,46.8,15
DH,Oak,20,4,2.715,43.7,5
DH,Alder,20,12,16.715,63.7,13
DH,Sycamore,20,5,-4.285,43.4,6
DH,Alder,20,14,27.715,60.3,15
DH,Sycamore,20,14,11.715,50.1,15
DH,Oak,8,14,-0.285,66.8,15
DH,Sycamore,20,14,13.715,69.9,15
DH,Alder,8,14,-3.285,28.2,15
DH,Alder,8,14,2.715,90.6,15
DH,Sycamore,20,14,18.715,62,15
DH,Alder,8,14,3.715,66.6,15
DH,Oak,8,14,1.715,55.9,15
DH,Sycamore,20,14,13.715,56.4,15
DH,Alder,8,14,-2.285,27.7,15
DH,Alder,20,14,25.715,57.6,15
DH,Sycamore,8,14,0.715,78.6,15
DH,Alder,20,14,31.715,56.9,15
DH,Alder,8,14,2.715,65.9,15
DH,Alder,20,2,2.715,50.5,3
DH,Alder,8,14,-4.285,46.1,15
DH,Alder,20,14,30.715,60.4,15
DH,Oak,8,14,-1.285,79,15
DH,Alder,20,14,21.715,70,15
DH,Alder,20,4,3.715,39.4,5
DH,Alder,20,14,30.715,59.4,15
DH,Alder,8,14,0.715,64.4,15
DH,Alder,20,14,36.715,64.6,15
DH,Oak,8,14,0.715,64.7,15
DH,Oak,8,14,-1.285,66.6,15
DH,Oak,8,8,-0.285,53.5,9
DH,Alder,20,1,2.715,42.3,2
DH,Sycamore,8,14,1.715,70.5,15
DH,Sycamore,20,14,19.715,64.2,15
DH,Sycamore,8,14,2.715,47.7,15
DH,Oak,20,6,2.715,50.4,7
DH,Sycamore,8,14,8.715,70.2,15
DH,Sycamore,8,14,1.715,42.5,15
DH,Oak,20,14,-0.285,60.8,15
DH,Sycamore,20,14,16.715,81.5,15
DH,Sycamore,8,14,2.715,51.6,15
DH,Sycamore,20,14,11.715,71.3,15
DH,Alder,8,14,1.715,50.2,15
DH,Oak,20,1,1.715,46.8,2
DH,Alder,8,14,0.715,58.2,15
DH,Oak,20,14,-1.285,64,15
DH,Alder,8,14,-3.285,45.1,15
DH,Oak,20,1,2.715,51.4,2
DH,Sycamore,8,14,2.715,51.5,15
DH,Sycamore,20,14,13.715,42.9,15
DH,Oak,20,4,2.715,42,5
DH,Oak,8,14,1.715,55,15
DH,Oak,20,0,0.715,120,1
DH,Oak,8,14,1.715,33.4,15
DH,Oak,20,5,4.715,33.4,6
DH,Oak,8,14,1.715,68.5,15
DH,Oak,20,5,2.715,61.1,6
DH,Oak,8,14,-2.285,106.4,15
DH,Oak,8,14,0.715,48.1,15
DH,Sycamore,8,14,6.715,52.5,15
DH,Sycamore,8,14,6.715,36.1,15
DH,Sycamore,8,4,1.715,54.6,5
DH,Sycamore,8,14,-3.285,46.7,15
DH,Sycamore,8,14,6.715,55.3,15
